run	lumisection	evt
297563	155	214485750
297431	156	279127519
299184	107	166638556
297219	2027	2958156420
299096	33	53433245
297606	163	206761320
297219	631	1179774068
301323	545	534718059
301323	891	840043486
300466	241	324362324
300401	584	675996559
300236	22	20552179
300237	241	342051229
300785	945	1122839281
299369	255	342377054
300284	184	262050013
299450	82	65480017
299593	553	706649440
300576	910	1319616841
301142	554	470110237
301142	567	479663626
300633	235	360584157
300576	622	927963347
301359	249	245256863
301997	260	273488890
300155	843	1137404992
299649	300	432846798
300237	115	169294747
301417	113	89859230
300780	172	247581182
300515	391	647374784
300560	197	233472845
300636	618	797535820
299480	123	182441692
301665	28	25182630
301450	76	52412958
301472	601	578777287
301627	83	40746088
301448	68	60834141
300389	103	154849688
301665	257	219075199
300240	60	48896329
299369	93	127417592
302472	501	615063705
302476	181	139124250
302448	827	929480806
302225	717	625978977
302344	427	372166951
302328	321	275403154
302031	464	482622416
302344	257	232058885
302262	57	33287998
302448	848	949646464
302448	1131	1205690235
302448	1466	1478831523
302473	2	1864257
302494	558	458316599
302573	957	889641511
302596	469	552518721
302635	399	398912570
302525	522	630613732
302573	1181	1063864043
302654	180	224017704
302573	297	309791851
302448	247	294244685
304062	60	11426261
303838	494	739292118
304797	2908	3547295213
304508	987	1238109686
304158	1586	1889132260
303885	1992	2286089823
303948	1614	2173393787
304292	1386	1999766577
304158	566	692658968
304366	1835	2555676457
304655	137	236603778
304797	1130	1975724337
304292	929	1533255064
303832	129	114432617
304062	1712	2150587671
303832	657	808859830
304506	211	349947825
304062	1246	1713097365
304292	1605	2189719642
304292	1609	2193352027
304797	828	1506985752
304366	1165	1870470817
304366	1290	2019983569
304144	2068	2904080593
303832	1636	1684275820
304366	135	216016250
303948	357	565418972
304125	1428	1793335049
303999	28	49625778
304655	264	442145589
304125	1416	1783451455
303885	787	1122295796
304354	176	191080610
304209	83	75513200
303832	1847	1837525068
304562	701	1189006617
304616	904	1485022977
304125	95	177646523
304062	872	1291845336
304144	2170	2987965543
304204	355	546452934
304447	621	1095500817
304333	325	484794397
304738	521	881838899
304738	1450	2232407232
304778	953	1403666129
304144	1143	1929806132
305636	2279	3589942664
305186	198	311043407
305314	60	72193718
305081	614	1053495345
305202	579	877257219
305207	952	1533565041
305183	151	252851208
305064	1301	1726224520
305636	314	510419804
305636	1482	2610792593
